IRI Week,Calendar week starting on,Calendar week ending on,,Calendar date,IRI Week
1616,"August 16, 2010","August 22, 2010",,,
1617,"August 23, 2010","August 29, 2010",,,
1618,"August 30, 2010","September 5, 2010",,,
1619,"September 6, 2010","September 12, 2010",,,
1620,"September 13, 2010","September 19, 2010",,,
1621,"September 20, 2010","September 26, 2010",,,
1622,"September 27, 2010","October 3, 2010",,,
1623,"October 4, 2010","October 10, 2010",,,
1624,"October 11, 2010","October 17, 2010",,,
1625,"October 18, 2010","October 24, 2010",,,
1626,"October 25, 2010","October 31, 2010",,,
1627,"November 1, 2010","November 7, 2010",,,
1628,"November 8, 2010","November 14, 2010",,,
1629,"November 15, 2010","November 21, 2010",,,
1630,"November 22, 2010","November 28, 2010",,,
1631,"November 29, 2010","December 5, 2010",,,
1632,"December 6, 2010","December 12, 2010",,,
1633,"December 13, 2010","December 19, 2010",,,
1634,"December 20, 2010","December 26, 2010",,,
1635,"December 27, 2010","January 2, 2011",,,
1636,"January 3, 2011","January 9, 2011",,,
1637,"January 10, 2011","January 16, 2011",,,
1638,"January 17, 2011","January 23, 2011",,,
1639,"January 24, 2011","January 30, 2011",,,
1640,"January 31, 2011","February 6, 2011",,,
1641,"February 7, 2011","February 13, 2011",,,
1642,"February 14, 2011","February 20, 2011",,,
1643,"February 21, 2011","February 27, 2011",,,
1644,"February 28, 2011","March 6, 2011",,,
1645,"March 7, 2011","March 13, 2011",,,
1646,"March 14, 2011","March 20, 2011",,,
1647,"March 21, 2011","March 27, 2011",,,
1648,"March 28, 2011","April 3, 2011",,,
1649,"April 4, 2011","April 10, 2011",,,
1650,"April 11, 2011","April 17, 2011",,,
1651,"April 18, 2011","April 24, 2011",,,
1652,"April 25, 2011","May 1, 2011",,,
1653,"May 2, 2011","May 8, 2011",,,
1654,"May 9, 2011","May 15, 2011",,,
1655,"May 16, 2011","May 22, 2011",,,
1656,"May 23, 2011","May 29, 2011",,,
1657,"May 30, 2011","June 5, 2011",,,
1658,"June 6, 2011","June 12, 2011",,,
